county_name,reg_voters,likely_dems,likely_repubs,dnc_precinct_id,van_precinct_id,van_precinct_name
,0,0,0,576730,951279,0221
,4,0,0,576741,950221,0202
,5,0,0,576749,953382,0127
,1,0,0,576751,953013,0723
,1,0,0,576771,950078,0064
,1,0,0,576783,949035,0312
,1,0,0,576791,952791,0496
,1,0,0,576800,956500,0010
,5,0,0,576810,951751,0023
,1,0,0,576812,948955,0305
,1,0,0,576815,953365,0110
,1,0,0,576828,952068,0033
,1,0,0,576839,952115,0022
,4,0,0,576842,,
,1,0,0,576846,953184,0112
,1,0,0,576848,949969,0206
,1,0,0,576856,953125,0853
,1,0,0,576859,950077,0063
,1,0,0,576866,952440,0139
,2,0,0,576869,950450,0015
,1,0,0,576873,952602,0303
,1,0,0,576875,956441,0019
,23,0,0,578564,951074,4409
,3,0,0,578575,949050,0410
,2,0,0,578576,954653,0004
,4,0,0,578578,952375,0074
,1,0,0,578581,952966,0674
,3,0,0,578584,949688,0011
,4,0,0,578586,950384,0149
,3,0,0,578605,950844,2601
,1,0,0,578611,951009,3600
,1,0,0,578617,953980,002h
,2,0,0,578635,955994,4182
,2,0,0,578654,952510,0210
,1,0,0,578660,950695,1814
,1,0,0,578663,954074,0014
,1,0,0,578687,949013,0111
,1,0,0,578688,950729,2126
,1,0,0,578689,951368,0001
,0,0,0,578698,955673,2161
,1,0,0,578706,954890,0404
,1,0,0,578710,951321,0329
,1,0,0,578725,950173,0011
,2,0,0,578734,952065,0022
,1,0,0,578737,953919,0406
,3,0,0,578741,948961,1001
,1,0,0,578748,956655,0133
,2,0,0,578758,949231,2069
,1,0,0,578759,955394,0036
,2,0,0,578763,951587,0096
,1,0,0,578769,956478,0019
,1,0,0,578774,948884,0003
,2,0,0,578775,953186,0114
,2,0,0,578782,953623,0006
,1,0,0,578790,951230,0111
,0,0,0,578792,950260,0025
,3,0,0,578797,949690,0013
,1,0,0,578798,956321,0316
,0,0,0,578811,949971,0301
,0,0,0,582410,948900,0303
,2,0,0,582425,950557,1118
,1,0,0,582428,953761,0008
,1,0,0,582433,954006,0008
,1,0,0,582442,950022,0008
,3,0,0,582447,951593,0102
,1,0,0,582449,953464,0001a
,1,0,0,582456,952277,0009
,1,0,0,582468,956114,02-8
,0,0,0,582478,950886,3219
,1,0,0,582480,950598,1208
,1,0,0,582482,951329,0405
,1,0,0,582485,952826,0532
,1,0,0,582487,951106,4443
,1,0,0,582490,951226,0107
,1,0,0,582508,951590,0099
,1,0,0,582510,954084,0010
,1,0,0,582517,950093,0079
,2,0,0,582521,955381,0023
,1,0,0,582528,951139,4602
,1,0,0,582529,954613,0065
,3,0,0,582535,950183,0027
,2,0,0,582543,951621,0130
,1,0,0,582550,955540,1119
,1,0,0,582560,955610,1377
,1,0,0,582574,955058,0123
,0,0,0,582585,951130,4520
,0,0,0,582606,955369,0011
,1,0,0,582612,956716,0009
,2,0,0,582613,950779,2228
,2,0,0,582614,953311,0052
,2,0,0,582616,949012,0110
